model_id,version,strategy_type,symbol,pivot_left,pivot_right,min_swing_range_pct,stop_buffer_pct,max_wait_minutes_after_touch,max_hold_minutes,rr_target,setup_valid_minutes,avg_daily_roi_pct,median_daily_roi_pct,best_day_roi_pct,worst_day_roi_pct,positive_day_ratio,avg_daily_pnl,total_pnl,total_trades,avg_trades_per_day,win_rate,max_drawdown_pct,equity_final,eval_days,run_ts,days_lookback,fee_bps_per_side,qty,horizon,tp,sl,p_enter
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.0005,10.0,20.0,,60.0,0.187851761390713,0.168088397974043,1.5466195407130146,-0.5965477020602189,0.7,4.608261000000051,138.24783000000153,95,3.1666666666666665,0.7157894736842105,-0.0400024393729103,100138.24783,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.0005,10.0,20.0,1.5,60.0,0.317195955519934,0.2410233294519325,2.1917620370895263,-0.4899438772060298,0.8333333333333334,9.106185000000009,273.1855500000002,91,3.033333333333333,0.6483516483516484,-0.0443158148407785,100273.18555,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.0005,10.0,30.0,,60.0,0.1992084266992731,0.1964135673727727,1.3288212143212126,-1.1665052297939773,0.7666666666666667,5.552337666666689,166.57013000000063,95,3.1666666666666665,0.7368421052631579,-0.0459778156560841,100166.57013,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.0005,10.0,30.0,1.5,60.0,0.4030752043114791,0.3137063690018169,2.8326059093744616,-1.5609324497937678,0.8333333333333334,12.382608833333263,371.47826499999786,85,2.833333333333333,0.6705882352941176,-0.0461272647879096,100371.478265,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.001,10.0,20.0,,60.0,0.1847645781945468,0.1516872724762091,1.5466195407130146,-0.6089115689381909,0.7,4.448381000000029,133.4514300000009,95,3.1666666666666665,0.7157894736842105,-0.0418785843095403,100133.45143,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.001,10.0,20.0,1.5,60.0,0.3168376034168799,0.2559275777889692,2.1917620370895263,-0.4899438772060298,0.8333333333333334,9.100805000000014,273.0241500000004,91,3.033333333333333,0.6483516483516484,-0.0461878593758235,100273.02415,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.001,10.0,30.0,,60.0,0.1957174822775391,0.1817856007419309,1.3288212143212126,-1.1909819334389853,0.7666666666666667,5.376534333333335,161.29603000000003,95,3.1666666666666665,0.7368421052631579,-0.0469429534608933,100161.29603,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.004,0.001,10.0,30.0,1.5,60.0,0.402878146506273,0.3137063690018169,2.8326059093744616,-1.5770829670701214,0.8333333333333334,12.354227999999974,370.6268399999992,85,2.833333333333333,0.6705882352941176,-0.0466039921398708,100370.62684,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.005,0.0005,10.0,20.0,,60.0,0.1873078196197462,0.168088397974043,1.5466195407130146,-0.5965477020602189,0.7,4.560255666666711,136.8076700000013,94,3.1333333333333333,0.7127659574468085,-0.0400030145675467,100136.80767,30,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SOXL,2.0,2.0,0.005,0.0005,10.0,20.0,1.5,60.0,0.3139883425084874,0.22458241211072,2.1917620370895263,-0.4899438772060298,0.8333333333333334,8.872471333333351,266.17414000000053,90,3.0,0.6444444444444445,-0.0443189138407795,100266.17414,30,2026-05-13T12:38:43,45,1.0,10,,,,
